,Proba exacte,Results FORM,Result SORM,Result Monte Carlo,Result IS,Result Subset
RP8,0.000784,0.0006599180884000775,0.0007838449346531113,0.0009000000000000039,0.0007299852372403852,0.0008552859999999977
RP14,0.00752,0.0004814807721516806,0.0005476772491149204,0.0007000000000000023,0.0007377098867599753,0.0006960000000000027
RP22,0.00416,0.006227215454791583,0.004403739359737042,0.004399999999999986,0.003845854590594289,0.003869999999999997
RP24,0.00286,0.008197536156089676,0.008197535964320822,0.002800000000000009,0.0029119311751840144,0.0025299999999999975
RP25,6.14e-06,0.16459602079773328,0.16484029504770514,0.0,0.0,4.100000000000015e-05
RP28,1.46e-07,0.008846209743370673,0.010857472192393448,0.0,1.0340107897354828e-07,9.193575999999987e-08
RP31,0.00018,0.022804176656960724,0.022781724448677133,0.0024999999999999988,0.0029898769381814555,0.004025932000000005
RP33,0.00257,0.0013543365254921125,0.0013543357258094712,0.002000000000000007,0.0018057512472203774,0.0027220000000000052
RP35,0.00354,0.0013543365196847783,0.0021408566623332256,0.003900000000000003,0.002407279935060171,0.0032020000000000095
RP38,0.0081,0.027934690748180366,0.02824548134944869,0.00849999999999999,0.007108420965427505,0.00821154400000001
RP53,0.0313,0.11844766367420761,0.030065582284311398,0.038264299802761456,0.023432317199533037,0.029699999999999956
RP55,0.36,0.3990079515772963,0.39262875628921573,0.5274725274725273,0.5984287523684704,0.5591999999999991
RP57,0.0284,0.041628475408421024,0.03965642453473393,0.027116768123962354,0.01543716507519211,0.02853999999999992
RP75,0.0107,0.01655410066770122,0.011843659948013419,0.010618899495870453,0.005081081208025091,0.009783999999999992
RP89,0.00543,2.894949848073376e-07,2.894949848073376e-07,0.004500000000000003,0.0013612102217176875,0.005171636000000032
RP107,2.92e-07,2.8706928777051813e-07,2.8706928777051813e-07,0.0,3.0720238541160335e-07,2.6067759999999963e-07
RP110,3.19e-05,3.180533948387783e-05,3.1805298386330555e-05,0.0,3.20968593880732e-05,1.6669773119999988e-05
RP111,7.65e-07,0.01794112443360751,0.012687665160350449,0.0,1.688554112713173e-07,8.454081952000006e-07
RP63,0.000379,0.5,0.5,0.0003999999999999998,0.00019999999999999996,0.0003515999999999996
RP91,0.000697,0.013940300931039127,0.013966048455594467,0.0003000000000000004,0.0006556632905393634,0.0005300000000000002
RP60,0.0456,0.04483979460360339,0.044839729088540684,0.0444033302497687,0.046217744880300754,0.04334
RP77,2.87e-07,0.05683835351015874,0.05685943075175991,0.0,0.0,1.8244249919999917e-07
"Four-branch serial system (Waarts, 2000)",0.0021859614549132322,0.0013543365133786545,0.0009131749878522805,0.0027000000000000006,0.0008346349555310915,0.002467999999999999
R-S,0.07864960352514257,0.07875343219719488,0.0787533478165218,0.0826594788858939,0.07618117230520426,0.07520000000000016
Axial stressed beam,0.029198194624830955,0.029985065272597474,0.02933479514907643,0.030852417302798963,0.0326154234652991,0.031060000000000018
